model,parameter_component,term,estimate,posterior_sd,hdi_prob,hdi_lower,hdi_upper,p_gt_zero,p_lt_zero,r_hat,ess_bulk,ess_tail,shape_ratio,shape_ratio_hdi_lower,shape_ratio_hdi_upper,conditional_cv_ratio,conditional_cv_ratio_hdi_lower,conditional_cv_ratio_hdi_upper,conditional_cv_pct_change,conditional_cv_pct_change_lower,conditional_cv_pct_change_upper,conditional_variance_ratio,conditional_variance_ratio_hdi_lower,conditional_variance_ratio_hdi_upper,conditional_variance_pct_change,conditional_variance_pct_change_lower,conditional_variance_pct_change_upper
alpha,shape,alpha_Intercept,1.4020608140975719,0.02126667281101318,0.95,1.3593277181966816,1.4434360000895303,1.0,0.0,1.0009863294567698,2728.3769493938617,3060.14140172325,4.06356559714855,3.8935748422061947,4.23522307173341,,,,,,,,,,,,
alpha,shape,alpha_first_touch_defender_pressure_type[Pressured (inc. Attempted Pressure)],0.0007542067100500256,0.014882855206067355,0.95,-0.028197398709435342,0.03039789895839425,0.5185,0.4815,0.9999108966077664,6686.120862193376,3243.167092333,1.0007544911954465,0.9721964375364882,1.0308646323226958,0.9996229677395082,0.9849159715902412,1.0141985547416241,-0.03770322604917942,-1.5084028409758754,1.4198554741624125,0.9992460776323419,0.9700594710935488,1.028598708439999,-0.07539223676581441,-2.994052890645116,2.859870843999901
alpha,shape,alpha_defender_num_challenges[1],-0.5261567485072081,0.01910714508243785,0.95,-0.5632973789711461,-0.48844574723431505,0.0,1.0,1.0006450904906026,7751.411465310935,3271.364704521156,0.5908714791999827,0.5693286729779541,0.6135793107967187,1.300928674270174,1.2766288256691867,1.3253130417862706,30.0928674270174,27.662882566918668,32.53130417862706,1.6924154155383526,1.6297811585294864,1.7564546587287773,69.24154155383526,62.97811585294863,75.64546587287772
alpha,shape,alpha_defender_num_challenges[2+],-0.06295943404454235,0.0520425090988977,0.95,-0.16906710524568297,0.03787953523051287,0.1105,0.8895,1.0016118857888954,8499.002865531025,3226.3322855873776,0.9389815636008357,0.8444522343100086,1.0386061098965769,1.0319804437470095,0.9812384627955208,1.0882093558975605,3.198044374700948,-1.876153720447915,8.82093558975605,1.0649836362762746,0.9628289208693167,1.1841996022629837,6.498363627627457,-3.7171079130683293,18.41996022629837
alpha,shape,alpha_starting_pitch_third[Defensive],-0.08668944401633738,0.014914032841469471,0.95,-0.11573687799848893,-0.05746181275504637,0.0,1.0,1.0000596258327166,7890.355154031705,3239.2637000055756,0.916961819399334,0.8907095577484455,0.9441579444887155,1.0442978252525301,1.0291476201496204,1.059575587715465,4.429782525253012,2.9147620149620357,5.9575587715464895,1.0905579478271639,1.0591448240596273,1.122700426082573,9.055794782716386,5.914482405962729,12.270042608257302
alpha,shape,alpha_starting_pitch_third[Attacking],-0.3913012505068429,0.015424441367055283,0.95,-0.421259351625411,-0.36120661961220196,0.0,1.0,1.0010622011217705,8443.657209232595,3092.8353755436337,0.6761764268627635,0.6562198876430296,0.6968350038130686,1.2161019557927009,1.197939874024057,1.234455121814617,21.610195579270087,19.793987402405698,23.44551218146169,1.478903966882832,1.4350599417767735,1.523879447774341,47.89039668828321,43.50599417767735,52.38794477743409
alpha,shape,alpha_player_position_group[Goalkeeper],-0.604056921437462,0.051821044015730074,0.95,-0.7027722643469837,-0.5016783282864423,0.0,1.0,1.0020843818618492,3882.169393044036,3403.9299375736446,0.5465896606399063,0.49521054453697605,0.6055135559056349,1.352599722121923,1.2851033770059759,1.4210359276803475,35.2599722121923,28.51033770059759,42.103592768034744,1.8295260082843035,1.6514906895921635,2.019343107758346,82.95260082843035,65.14906895921635,101.93431077583459
alpha,shape,alpha_player_position_group[Centre Back],0.002444546141578267,0.03180559146768501,0.95,-0.05978063283134814,0.0669201589017991,0.5265,0.4735,1.0006593958070011,2096.7307283157397,2133.3904665379573,1.0024475364806749,0.94197114846495,1.0692101078573968,0.9987784736006975,0.9670935173650534,1.0303415162049572,-0.12215263993025083,-3.2906482634946554,3.0341516204957175,0.9975584393281393,0.9352698713295109,1.06160364001553,-0.2441560671860743,-6.473012867048911,6.160364001552998
alpha,shape,alpha_player_position_group[Full Back],-0.1793596871256649,0.03254446666704596,0.95,-0.24242974682213617,-0.117414671083509,0.0,1.0,1.0014725698392852,2870.2150083001034,2847.303095382032,0.8358052169483745,0.7847188746369472,0.8892163843799424,1.093824032835426,1.060464834953594,1.128867449908582,9.382403283542606,6.046483495359389,12.886744990858201,1.1964510148083551,1.124585666173153,1.2743417194631048,19.645101480835514,12.458566617315302,27.43417194631048
alpha,shape,alpha_player_position_group[Winger],-0.10370763016926006,0.02877005176680181,0.95,-0.1615286285193891,-0.049514843988627336,0.0,1.0,1.001643032217374,3689.099425195456,3206.504890754935,0.9014888270310468,0.8508421727650582,0.9516910311407689,1.0532217661243797,1.02506643179172,1.084115355924063,5.322176612437968,2.5066431791719967,8.411535592406306,1.1092760886381572,1.0507611895862088,1.1753061049503577,10.927608863815719,5.076118958620879,17.53061049503577
alpha,shape,alpha_player_position_group[Forward],-0.15033852480715706,0.03693394468714553,0.95,-0.2217526164922866,-0.07675448643427338,0.0,1.0,1.0012898635475396,4067.5430063426993,3484.1968266233202,0.8604166547359113,0.8011135220963403,0.9261172000330984,1.0780666115882225,1.039123161112015,1.117256702866202,7.806661158822248,3.912316111201508,11.725670286620193,1.1622276190213114,1.0797769439594267,1.2482625400994567,16.222761902131143,7.977694395942669,24.82625400994567
