model,group,player_id,playername,teamname,estimate,posterior_sd,hdi_prob,hdi_lower,hdi_upper,p_gt_zero,p_lt_zero,r_hat,ess_bulk,ess_tail,group_sd_variable,group_sd_estimate,group_sd_posterior_sd,group_sd_hdi_lower,group_sd_hdi_upper,group_sd_r_hat,group_sd_ess_bulk,group_sd_ess_tail,shape_ratio,shape_ratio_hdi_lower,shape_ratio_hdi_upper,conditional_cv_ratio,conditional_cv_ratio_hdi_lower,conditional_cv_ratio_hdi_upper,conditional_cv_pct_difference,conditional_cv_pct_difference_lower,conditional_cv_pct_difference_upper,conditional_cv_pct_change,conditional_variance_ratio,conditional_variance_ratio_hdi_lower,conditional_variance_ratio_hdi_upper,conditional_variance_pct_difference,conditional_variance_pct_difference_lower,conditional_variance_pct_difference_upper,shape_rank,variability_rank
alpha,player,4732,Djibril Sow,Switzerland,0.5630244881516825,0.13862812574501013,0.95,0.2847262801197282,0.8388161977670024,1.0,0.0,1.0021182196475429,7439.3220763642,2806.4203483722476,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.755975403772719,1.329398095628398,2.3136264788053897,0.7546416757288043,0.657435841681178,0.8673062456508829,-24.535832427119576,-34.2564158318822,-13.269375434911712,-24.535832427119576,0.5694840587467778,0.432221885927039,0.7522201237450296,-43.051594125322225,-56.7778114072961,-24.777987625497044,1,673
alpha,player,4602,Manuel Neuer,Germany,0.5444814158086945,0.12859883707292613,0.95,0.2903893321896675,0.788474550960933,1.0,0.0,1.0002835320150485,6717.444324362954,3081.6589232348765,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.7237142595921504,1.3369479035664042,2.2000378196377284,0.7616708988164922,0.6741940675391938,0.8648539189878954,-23.83291011835078,-32.580593246080625,-13.514608101210456,-23.83291011835078,0.5801425581039231,0.454537640705043,0.7479723011887213,-41.985744189607686,-54.5462359294957,-25.202769881127875,2,672
alpha,player,241,Leander Dendoncker,Belgium,0.5380207767189145,0.1243348548497786,0.95,0.28535408675641516,0.7727876466645769,1.0,0.0,1.00191050276394,7900.012436707181,2634.06848640167,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.7126138603144911,1.3302329626157288,2.165795318525343,0.7641353174946147,0.6795028688949092,0.8670340380680199,-23.586468250538527,-32.04971311050908,-13.296596193198006,-23.586468250538527,0.5839027834425956,0.46172414883641205,0.7517480231685366,-41.60972165574044,-53.82758511635879,-24.82519768314634,3,671
alpha,player,96,César Azpilicueta,Spain,0.48400751262361563,0.10739550393266892,0.95,0.2717278221623932,0.6884884284528493,1.0,0.0,1.0006653571556927,7746.206035283968,2765.4966579694947,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.6225638353178602,1.3122297928337412,1.9907041660917482,0.7850532286415784,0.7087558186585055,0.8729614247818342,-21.494677135842156,-29.124418134149455,-12.703857521816575,-21.494677135842156,0.6163085718005665,0.5023348104822882,0.76206164915713,-38.36914281994335,-49.766518951771175,-23.793835084286997,4,670
alpha,player,1341,Unai Simon,Spain,0.4831593618928698,0.11513382641841692,0.95,0.2534305280233335,0.710895492894419,1.0,0.0,1.0015535493138334,6209.874688595494,2693.309043240752,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.62118824005378,1.2884378660506235,2.0358134991461165,0.7853862209782848,0.7008595655645419,0.8809844848758287,-21.46137790217152,-29.91404344354581,-11.90155151241713,-21.46137790217152,0.6168315161025513,0.49120413064331836,0.7761336625919294,-38.31684838974488,-50.879586935668165,-22.38663374080706,5,669
alpha,player,4613,Benjamin Pavard,France,0.4760948594012272,0.145935265681264,0.95,0.19312813026080264,0.7624216234170709,0.999,0.001,1.0003119141554366,9239.946813433702,3057.7430866969457,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.6097757110761013,1.2130382104643704,2.1434605950323853,0.7881653077626561,0.6830338829014398,0.9079517276906057,-21.183469223734384,-31.696611709856015,-9.204827230939427,-21.183469223734384,0.6212045523606025,0.4665352851914178,0.8243763398163558,-37.879544763939755,-53.34647148085823,-17.56236601836442,6,668
alpha,player,4695,Nico Elvedi,Switzerland,0.4373544376222492,0.11263946695346103,0.95,0.22220657083514012,0.6547253966456085,1.0,0.0,1.0020868339081392,7319.083749703037,2915.7322157495237,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.5486048636209577,1.2488293229375882,1.9246139393613788,0.803581057145484,0.7208222545859858,0.8948463195800324,-19.6418942854516,-27.917774541401418,-10.515368041996764,-19.6418942854516,0.6457425154030536,0.5195847227064239,0.8007499356659294,-35.42574845969464,-48.04152772935761,-19.925006433407056,7,667
alpha,player,1387,Yannick Carrasco,Belgium,0.43453219444361424,0.16363585718286008,0.95,0.10423469402270147,0.7474059069094803,0.99425,0.00575,1.0006252878011523,6937.106797719521,2818.8775680537474,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.544240485673025,1.1098609020714378,2.1115154383258914,0.8047158081715251,0.6881813033492513,0.9492174724736026,-19.52841918284749,-31.181869665074867,-5.078252752639745,-19.52841918284749,0.6475675319211508,0.47359350627947433,0.9010138100491745,-35.24324680788492,-52.64064937205257,-9.898618995082554,8,666
alpha,player,1034,Jhegson Méndez,Ecuador,0.4203981148312589,0.11195694839439929,0.95,0.20214117706638227,0.6285782753302376,1.0,0.0,1.0003124921135795,7059.069323890569,3060.660636999313,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.5225675917145058,1.2240207995796504,1.8749430306927286,0.810422909223205,0.7303078381262659,0.9038692278309488,-18.957709077679496,-26.969216187373412,-9.613077216905118,-18.957709077679496,0.6567852917938032,0.5333495384286602,0.8169795810197156,-34.32147082061968,-46.665046157133986,-18.302041898028442,9,665
alpha,player,13462,Martín Cáceres,Uruguay,0.4170168593853448,0.15345651221091625,0.95,0.11375567035621434,0.7035517611021335,0.99625,0.00375,1.0005205498311196,7842.846508488648,3372.7786008425373,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.517428095624427,1.1204783253667394,2.020917792809588,0.8117941914981532,0.7034377583937577,0.9447094725817317,-18.820580850184676,-29.656224160624234,-5.529052741826835,-18.820580850184676,0.6590098093501402,0.49482467993403456,0.8924759875856535,-34.09901906498598,-50.51753200659655,-10.75240124143465,10,664
