model,parameter_component,term,estimate,posterior_sd,hdi_prob,hdi_lower,hdi_upper,p_gt_zero,p_lt_zero,r_hat,ess_bulk,ess_tail,exp_estimate,exp_hdi_lower,exp_hdi_upper,expected_tempo_pct_change,expected_tempo_pct_change_lower,expected_tempo_pct_change_upper
mu,mean,Intercept,1.9973678516046398,0.008809405594522177,0.95,1.9796469954585867,2.0147446282491677,1.0,0.0,1.0010904428465213,3363.753194623831,3091.4330020002185,7.369632580781863,7.240186715208957,7.4988121518772495,,,
mu,mean,game_state_goal_diff,0.007118207303264988,0.0020898979729725774,0.95,0.0030462912515671387,0.011333122252880112,1.0,0.0,1.0010111287559864,5986.641536194448,3204.3136582119355,1.007143601959922,1.0030509359118938,1.011397585375533,0.714360195992203,0.30509359118937596,1.1397585375533037
mu,mean,first_touch_ballheight[Air],-0.052791456972911675,0.005881943308823314,0.95,-0.06445937161694529,-0.041723550388270435,0.0,1.0,1.0001148238784991,8748.038286607374,3323.3583268616253,0.9485778111449804,0.9375742056122174,0.9591348963949177,-5.1422188855019595,-6.242579438778262,-4.086510360508234
mu,mean,first_touch_defender_pressure_type[Pressured (inc. Attempted Pressure)],0.19856409013794485,0.005990579629886644,0.95,0.1867601401959607,0.21045589705868212,1.0,0.0,1.001552908719969,8377.624923476073,3199.3370824642193,1.2196501924584993,1.2053381382043273,1.23424061838026,21.965019245849927,20.533813820432734,23.424061838025988
mu,mean,defender_num_challenges[1],-0.37589815500521945,0.010285829176014935,0.95,-0.3961229489928329,-0.35564410636937444,0.0,1.0,1.0006699908920018,8634.88598041618,3002.3851390967898,0.686672263614305,0.6729239555284804,0.7007219583455127,-31.3327736385695,-32.70760444715196,-29.927804165448734
mu,mean,defender_num_challenges[2+],-0.7578996518755869,0.022089951377137065,0.95,-0.8011638008949864,-0.7134326154149233,0.0,1.0,1.0006318319577157,7696.154153919708,2892.268881400423,0.4686497215817047,0.44880633884150883,0.4899594651833412,-53.135027841829526,-55.11936611584911,-51.00405348166588
mu,mean,starting_pitch_third[Defensive],-0.019396061802659723,0.005699787423410684,0.95,-0.030521344993009902,-0.008296274380859765,0.0,1.0,0.9996209633990694,8546.949262357708,3296.5038273322657,0.9807908315220314,0.9699397284895278,0.9917380447309406,-1.9209168477968608,-3.006027151047219,-0.8261955269059373
mu,mean,starting_pitch_third[Attacking],-0.13919622881788668,0.006956501088983616,0.95,-0.15266257088724686,-0.12535738791759138,0.0,1.0,1.0005536707737286,8597.564641700852,3081.8876302189883,0.8700572813942306,0.8584193286201881,0.8821815652065407,-12.994271860576944,-14.15806713798119,-11.781843479345932
mu,mean,player_position_group[Goalkeeper],-0.0674224785941684,0.01864314304559045,0.95,-0.10361548201614317,-0.03082121661754397,0.0,1.0,1.0002240184476985,5709.738838945188,4006.627805987789,0.9348001848317271,0.9015719013890289,0.9696489146930276,-6.519981516827289,-9.842809861097113,-3.035108530697239
mu,mean,player_position_group[Centre Back],0.025438198604824987,0.00983954234480875,0.95,0.0063618930290193915,0.04493003987112892,0.99525,0.00475,0.9997068963732392,3615.4794728338657,3225.6421323427635,1.025764510633617,1.0063821728536912,1.0459546822246248,2.5764510633617066,0.6382172853691248,4.595468222462484
mu,mean,player_position_group[Full Back],-0.044565276636170006,0.010248970210773376,0.95,-0.06462455013058833,-0.024465885154446077,0.0,1.0,1.000755047194197,4564.924766521278,3259.6360968604745,0.9564131666216137,0.9374193512881599,0.9758309786736908,-4.358683337838631,-6.25806487118401,-2.416902132630916
mu,mean,player_position_group[Winger],-0.10783152886121192,0.010637749343861524,0.95,-0.12843419470926326,-0.08703510355939302,0.0,1.0,1.0024585157668875,4799.6683165941595,3516.540263187228,0.8977788335129971,0.8794714343876887,0.9166449175690671,-10.222116648700286,-12.05285656123113,-8.335508243093292
mu,mean,player_position_group[Forward],-0.07162335395863545,0.01328332335854823,0.95,-0.09790702046419626,-0.045805680514962,0.0,1.0,1.0002762207784779,5011.863657585987,3939.2776284938295,0.9308814426013667,0.9067332074673282,0.9552275634853872,-6.911855739863326,-9.326679253267178,-4.477243651461283
mu,mean,player_possession_sequence_log_z,-0.007898208018937324,0.0025148509088625108,0.95,-0.012725838831154489,-0.0028645943725391773,0.00075,0.99925,1.0001115035548338,8760.702785262223,3580.567998955464,0.9921329008706463,0.9873547922606509,0.9971395046629615,-0.7867099129353683,-1.2645207739349074,-0.2860495337038471
mu,mean,game_period[2],-0.0032616903712097845,0.004517653865544768,0.95,-0.012066030502184893,0.005344120654775259,0.24225,0.75775,0.999863524329014,8173.077826740724,3616.916652007012,0.9967436231622255,0.988006472144498,1.0053584259392643,-0.3256376837774466,-1.1993527855502006,0.5358425939264277
mu,mean,game_period[AET],0.020299272000067595,0.019682113928758644,0.95,-0.017686537013290784,0.05939845047447825,0.84975,0.15025,1.0021178241019495,7450.618344033803,3627.108943298678,1.020506703413334,0.9824689517470775,1.0611979913551453,2.0506703413333938,-1.753104825292251,6.119799135514525
