model,group,opponent_id,opponent_teamname,estimate,posterior_sd,hdi_prob,hdi_lower,hdi_upper,p_gt_zero,p_lt_zero,r_hat,ess_bulk,ess_tail,tempo_ratio,tempo_ratio_hdi_lower,tempo_ratio_hdi_upper,tempo_pct_difference,tempo_pct_difference_lower,tempo_pct_difference_upper,rank
mu,opponent,383,Ghana,0.057782944291312435,0.015163029716284391,0.95,0.0285837090282104,0.08770435777260345,1.0,0.0,1.0013854871981858,4497.631596183327,3315.959793679652,1.0594850034823529,1.0289961434966373,1.091665331945051,5.948500348235286,2.899614349663726,9.16653319450511,1
mu,opponent,360,Qatar,0.05687401818235001,0.015129269318044198,0.95,0.028089792799362603,0.08719086487621026,1.0,0.0,1.0008440874537805,4540.600110721344,3648.0920121864483,1.0585224474130726,1.0284880310947528,1.091104913449631,5.852244741307255,2.848803109475284,9.11049134496309,2
mu,opponent,384,Wales,0.029255001391712696,0.01415544749661151,0.95,0.0017570859738494627,0.05845308996403537,0.98175,0.01825,1.0005600043663594,5288.223928309561,3655.557601978012,1.029687132651763,1.00175863055393,1.0601952507307306,2.9687132651762926,0.17586305539301073,6.019525073073062,3
mu,opponent,379,Cameroon,0.015445657955874523,0.013983835406428244,0.95,-0.01168859688314037,0.04236873991541786,0.8655,0.1345,1.0004689329943932,5125.592678389498,3587.2220692860865,1.0155655586503711,0.9883794493855661,1.0432791064820879,1.5565558650371125,-1.16205506144339,4.327910648208788,4
mu,opponent,368,Germany,0.015301561395923436,0.014753966842032108,0.95,-0.012951527904480216,0.04455270483453282,0.85325,0.14675,1.0001653047565935,6088.327610034808,3281.438830302265,1.015419229689968,0.9871319822163839,1.0455600813293835,1.5419229689968006,-1.2868017783616126,4.5560081329383495,5
mu,opponent,58,Mexico,0.012509685123149495,0.01634682309111965,0.95,-0.01956554596380548,0.04526084018560548,0.7755,0.2245,1.0002024356354733,6721.853243520489,2833.973592645543,1.012588258535127,0.9806246170964455,1.046300741597552,1.2588258535126906,-1.937538290355445,4.630074159755204,6
mu,opponent,385,Costa Rica,0.012279058736202254,0.0126425695108273,0.95,-0.01261579957935944,0.03674754578926576,0.83675,0.16325,0.9998327854349751,4968.469614431582,3630.7859873514585,1.0123547558905663,0.9874634460212273,1.0374310839305259,1.2354755890566338,-1.2536553978772735,3.7431083930525855,7
mu,opponent,362,Belgium,0.008162751326155763,0.014995818923033822,0.95,-0.021453111809370245,0.038039531975826296,0.70975,0.29025,1.002110679742868,6030.742218867059,3472.362820299267,1.0081961574140952,0.9787753693993485,1.0387722967881492,0.8196157414095184,-2.1224630600651495,3.8772296788149196,8
mu,opponent,382,Saudi Arabia,0.007766389874802684,0.014877551729054517,0.95,-0.020979507568372732,0.037053335939059275,0.70575,0.29425,1.0003496743719607,6391.662975836295,3578.6716941807413,1.0077966265064497,0.979239031352747,1.0377483686458793,0.7796626506449744,-2.0760968647252964,3.774836864587927,9
mu,opponent,51,United States,0.0075170621845042146,0.013228599677081313,0.95,-0.01774322683747299,0.03342219131947612,0.71575,0.28425,1.0005499828848272,6354.238871087186,3710.4275852701116,1.0075453862231536,0.9824132573336066,1.0339869874330492,0.7545386223153594,-1.7586742666393373,3.3986987433049176,10
mu,opponent,364,Argentina,0.006374279973932126,0.011661838377629187,0.95,-0.01711151030279858,0.02900609812958227,0.709,0.291,1.0003645875846157,5103.335441552814,3279.839046646304,1.0063946389314355,0.9830340600971877,1.0294308720588439,0.6394638931435548,-1.6965939902812255,2.943087205884387,11
mu,opponent,380,Canada,0.005796469115785464,0.014212210729885634,0.95,-0.021659158285597425,0.033805431697699104,0.663,0.337,1.0002237768900073,6326.340430704616,3495.4800419651815,1.0058133011492958,0.9785737169590666,1.034383328939374,0.5813301149295791,-2.1426283040933414,3.4383328939374014,12
mu,opponent,378,Tunisia,0.005259528883305585,0.014168512839216538,0.95,-0.022331785757697845,0.03337983477396478,0.64425,0.35575,1.0012555387666815,5860.279284391654,3349.669384352555,1.0052733844860064,0.9779157227108763,1.0339431922436708,0.5273384486006449,-2.2084277289123655,3.3943192243670817,13
mu,opponent,361,Brazil,0.0036025896706017805,0.012539323452846888,0.95,-0.021217755164387612,0.02832011299698128,0.614,0.386,1.0004625131786349,5464.347296639522,3237.746583020514,1.003609086796586,0.9790057577971386,1.028724939942722,0.3609086796585892,-2.099424220286139,2.872493994272207,14
mu,opponent,50,England,0.0008893959622719139,0.013778744802258741,0.95,-0.02587540301693477,0.02889400738635452,0.5305,0.4695,1.000596111161691,6043.979085668812,3820.810213193965,1.0008897915921426,0.9744564963847111,1.0293154888541085,0.08897915921426414,-2.55435036152889,2.9315488854108507,15
mu,opponent,374,Morocco,0.0007051063542060253,0.010120334417709672,0.95,-0.01930005609973141,0.020314158705440396,0.53275,0.46725,1.0003057291317983,4509.512171925739,3328.567870609758,1.0007053550001286,0.980884997555403,1.0205218955090385,0.07053550001285824,-1.9115002444596962,2.052189550903849,16
mu,opponent,57,Japan,0.00037345555984245356,0.011795833491601515,0.95,-0.02246253798850186,0.0237915227923091,0.50775,0.49225,0.9999682050968538,5449.280811356804,3399.851535185579,1.0003735253030517,0.9777878664075241,1.024076798962971,0.03735253030516805,-2.221213359247587,2.40767989629711,17
mu,opponent,373,Iran,0.0003268833878525022,0.013819603388721576,0.95,-0.026936372855779826,0.027786811736760342,0.49475,0.50525,0.9997558655297325,5843.104442258912,3627.7192480905996,1.000326936820049,0.9734231756907558,1.0281764658997783,0.032693682004891755,-2.657682430924424,2.817646589977829,18
mu,opponent,372,Senegal,-0.0018226621648380918,0.013293531284750167,0.95,-0.027896473600387023,0.02477121716802287,0.44925,0.55075,1.0004495581802926,5043.398001614658,3428.7817886860175,0.9981789978751283,0.9724890398789581,1.0250805728587489,-0.18210021248716846,-2.7510960121041927,2.5080572858748873,19
mu,opponent,367,Denmark,-0.0018680648588720384,0.014992795691230604,0.95,-0.03154868110452777,0.026804183621479682,0.45075,0.54925,0.999654535030108,6242.068190353534,3816.7342301234467,0.9981336788883065,0.968943786051865,1.0271666470163816,-0.1866321111693492,-3.105621394813496,2.7166647016381607,20
mu,opponent,375,Serbia,-0.0032422735803619564,0.014771951625732112,0.95,-0.03279597395239202,0.02544466262894106,0.41,0.59,0.9994114051412264,6347.482946683916,4184.3481185678575,0.9967629769125786,0.9677359827963068,1.0257711412215813,-0.32370230874213535,-3.2264017203693207,2.5771141221581306,21
mu,opponent,386,Australia,-0.0035961503423151604,0.012077636878520249,0.95,-0.027616140609384845,0.019905896437327226,0.39275,0.60725,1.0003394057143888,5356.662127061478,3480.648540572798,0.9964103080622098,0.9727616988560919,1.0201053399630606,-0.35896919377902403,-2.723830114390813,2.010533996306063,22
mu,opponent,369,Uruguay,-0.007933959025341664,0.014473718739648476,0.95,-0.03688418354491928,0.01947463003285589,0.294,0.706,1.0001375972586368,5221.899408268102,3266.724092140163,0.9920974317549854,0.9637877513662564,1.0196654976523358,-0.7902568245014563,-3.6212248633743616,1.9665497652335828,23
mu,opponent,52,Spain,-0.011973156560982759,0.015558633656236545,0.95,-0.04258972437969081,0.018366112496231827,0.225,0.775,0.9994460643650384,5812.736583826681,3628.9741810587434,0.9880982364606902,0.9583044783885553,1.0185358068234265,-1.1901763539309829,-4.169552161144474,1.8535806823426482,24
mu,opponent,371,Croatia,-0.012933726570015132,0.011018756829737127,0.95,-0.03476719029120087,0.008866993366515634,0.12375,0.87625,1.000268979700822,4807.776100349994,3367.335123527561,0.9871495546393664,0.9658302447434519,1.008906421602671,-1.2850445360633622,-3.4169755256548084,0.8906421602671077,25
mu,opponent,370,Switzerland,-0.016379423512983965,0.013123228594962285,0.95,-0.042562100646618216,0.009161965310600676,0.106,0.894,0.9998115222625936,5764.6853069349045,3624.941257417351,0.9837539898398959,0.9583309507012988,1.0092040645872578,-1.6246010160104074,-4.166904929870119,0.9204064587257754,26
mu,opponent,377,South Korea,-0.02013181666237748,0.013513511607930146,0.95,-0.047652261673044614,0.005911175202669246,0.06775,0.93225,1.0002577035172533,5322.244023641115,3404.8033179340096,0.980069475304585,0.9534652858600633,1.0059286806744467,-1.9930524695415008,-4.653471413993671,0.592868067444674,27
mu,opponent,381,Ecuador,-0.02128090072191871,0.0161625981059872,0.95,-0.05363687560495795,0.010738208165337078,0.09175,0.90825,1.0008409848315285,5655.465002339873,3471.1504650201964,0.9789439398845202,0.9477762046837562,1.0107960696467173,-2.105606011547978,-5.222379531624377,1.079606964671731,28
mu,opponent,376,Poland,-0.025873761379061628,0.011977392907800076,0.95,-0.049528897361308125,-0.001480878757936945,0.01825,0.98175,0.9998891993229331,4469.349627876605,3722.853806692246,0.9744580960907143,0.9516776567660091,0.9985202172019496,-2.554190390928568,-4.832234323399087,-0.14797827980503886,29
mu,opponent,365,Portugal,-0.026038545826795687,0.013663738338039924,0.95,-0.05300990586202688,0.0005888554945274892,0.029,0.971,1.0000945168077933,4915.5800322199575,3528.0548773308965,0.9742975337809592,0.9483706180072757,1.0005890289039603,-2.570246621904082,-5.162938199272427,0.058902890396028695,30
mu,opponent,363,France,-0.0388617445796947,0.01119724496762237,0.95,-0.06131693481150657,-0.01738983924062903,0.0,1.0,0.999981943713365,4486.59484425533,3523.098852809729,0.9618836855870337,0.9405251073866122,0.9827604913442061,-3.8116314412966257,-5.947489261338779,-1.7239508655793934,31
mu,opponent,366,Netherlands,-0.05521189203181876,0.013279090983830927,0.95,-0.08077257258046532,-0.029325499305915954,0.0,1.0,0.9996964398766128,3947.371264528184,3249.8411816616867,0.9462846165386525,0.9224034474273913,0.9711003205367718,-5.371538346134752,-7.759655257260867,-2.8899679463228245,32
