model,group,player_id,playername,teamname,estimate,posterior_sd,hdi_prob,hdi_lower,hdi_upper,p_gt_zero,p_lt_zero,r_hat,ess_bulk,ess_tail,tempo_ratio,tempo_ratio_hdi_lower,tempo_ratio_hdi_upper,tempo_pct_difference,tempo_pct_difference_lower,tempo_pct_difference_upper,expected_tempo_pct_change,rank
mu,player,240,Rúben Neves,Portugal,0.14510929606773412,0.027959685284195363,0.95,0.0927819983856104,0.20031488965554486,1.0,0.0,1.0018213726647682,7497.8357635940665,3404.096342911702,1.1561659277522593,1.0972225129144397,1.2217874258147225,15.616592775225936,9.722251291443973,22.178742581472257,15.616592775225936,1
mu,player,1960,Timothy Castagne,Belgium,0.13190581097493817,0.030991524239170988,0.95,0.07023193266501107,0.19134410871780985,1.0,0.0,1.0014663665650787,6618.5296436664175,3120.517778559922,1.141000844448707,1.0727569597837594,1.210876053405279,14.100084444870697,7.27569597837594,21.087605340527894,14.100084444870697,2
mu,player,4602,Manuel Neuer,Germany,0.12340629899753067,0.03991083057153257,0.95,0.04530475173156329,0.20302188274111999,0.999,0.001,1.0010193227198247,6829.013071969468,2964.144327156655,1.1313439915092505,1.0463466872894183,1.2250992764844928,13.134399150925047,4.6346687289418265,22.509927648449278,13.134399150925047,3
mu,player,265,Declan Rice,England,0.12278028405562415,0.02356185550683214,0.95,0.07700272859708886,0.16923641177455942,1.0,0.0,1.000211155383804,7312.97733705798,3407.4856315779807,1.130635974903739,1.0800450233962864,1.1844001119604612,13.06359749037389,8.004502339628639,18.440011196046125,13.06359749037389,4
mu,player,8033,Davy Klaassen,Netherlands,0.11081782102992335,0.04469982040728232,0.95,0.02668271703869381,0.2011724245210231,0.996,0.004,1.0028961095237556,6347.216953997029,3260.390047556914,1.1171913595427414,1.0270418881709855,1.2228356004894934,11.71913595427414,2.7041888170985517,22.283560048949337,11.71913595427414,5
mu,player,1519,Sergio Busquets,Spain,0.10709942272741216,0.026127838952092614,0.95,0.05557884784417932,0.15886769865868236,1.0,0.0,0.9999453154636696,6703.887925246001,3149.3108417096696,1.1130449109391287,1.057152367971544,1.1721828550575353,11.304491093912873,5.715236797154399,17.218285505753528,11.304491093912873,6
mu,player,13920,Jun-ho Son,South Korea,0.095065848437496,0.043548314403314595,0.95,0.01233534076848908,0.1809138509528451,0.9885,0.0115,1.000707441547525,6340.9098935555085,3184.9455677962014,1.0997312683276135,1.0124117348770547,1.198311941414394,9.973126832761348,1.2411734877054714,19.83119414143939,9.973126832761348,7
mu,player,7419,Krystian Bielik,Poland,0.09106416120001348,0.03894527143395141,0.95,0.015966360980416486,0.1663222331439195,0.99425,0.00575,1.0049915386785797,7604.61880875573,3051.9707036586587,1.0953392812866534,1.0160945044082579,1.1809535828039863,9.533928128665337,1.6094504408257881,18.09535828039863,9.533928128665337,8
mu,player,13848,Kamil Glik,Poland,0.09013983116671584,0.03386229966792652,0.95,0.02330137644440911,0.15744649843161776,0.99625,0.00375,1.001154516594438,7673.564463945528,3016.3837311939774,1.0943272940694508,1.0235749744537623,1.1705181317505393,9.432729406945084,2.357497445376233,17.05181317505393,9.432729406945084,9
mu,player,241,Leander Dendoncker,Belgium,0.08994205438859149,0.03223243452965729,0.95,0.02526385667207696,0.15154268649195216,0.99775,0.00225,1.0002539670192978,7503.377972372058,3049.2363053237377,1.0941108829442692,1.0255856924544953,1.1636279719456057,9.411088294426918,2.558569245449527,16.362797194560574,9.411088294426918,10
